53;6604;2008-02-28;Mari§o, Ricardo;El insoprtable.;Alfaguara;;82-32;Disponible
54;6605;2008-02-28;Pisos, Cecilia;El tÇ de la princesa.;SM;;82-32;Disponible
55;6606;2008-02-28;Barchil¢n, Ariel;Sim¢n y el p†jaro Vivaldi.;SM;;82-34;Disponible
56;6607;2008-02-28;Bornemann, Elsa;El libro de los chicos enamorados.;Alfaguara;;82-1;Disponible
57;6608;2008-02-28;Mari§o, Ricardo;Perdido en la selva.;Alfaguara;;82-34;Disponible
58;6609;2008-02-28;Colecci¢n;Cuentos infantiles.;Col. Malabarista;;82-34;Disponible
59;6610;2008-02-28;Pennac, Daniel;Como una novela.;Anagrama;;82-32;Disponible
60;6611;2008-02-28;Mart°nez, Guillermo;Cr°menes imperceptibles.;Booket;;82-32;Disponible
61;6612;2008-02-28;Yalom, Irvin;Verdugos del amor.       ;EmecÇ;;82-37;Disponible
62;6613;2008-02-28;Nik;Gaturro 3.;Ediciones de la Flor;;32-36;Disponible
63;6614;2008-02-28;Nik;Gaturro 4.;Ediciones de la Flor;;32-36;Disponible
64;6615;2008-02-28;Nik;Gaturro 5.;Ediciones de la Flor;;32-36;Disponible
65;6616;2008-02-28;Nik;Gaturro 6.;Ediciones de la Flor;;32-36;Disponible
66;6617;2008-02-28;Nik;Gaturro 7.;Ediciones de la Flor;;32-36;Disponible
67;6618;2008-02-28;Nik;Gaturro 8.;Ediciones de la Flor;;32-36;Disponible
68;6619;2008-02-28;Nik;Gaturro 9.;Ediciones de la Flor;;32-36;Disponible
69;6620;2008-02-28;Nik;Gaturro 10.;Ediciones de la Flor;;32-36;Disponible
70;6621;2008-02-28;Thomson,Emma;Nubes y fresas. Valeria Valerita-;Beascoa;;82-1;Disponible
71;6622;2008-02-28;Thomson,Emma;Noticias frescas.;Beascoa;;82-1;Disponible
72;6623;2008-02-28;Thomson,Emma;Noticias frescas.;Beascoa;;82-1;Disponible
73;6624;2008-02-28;Giraldes, Mariano;La gimnasia formativa.  ;Stadium;;796;Disponible
74;6625;2008-02-28;Mart°nez, Guillermo;Cr°menes imperceptibles.;Booket;;82-32;Disponible
75;6626;2008-02-28;Coehlo, Paulo;La bruja de Portobello.;Planeta;;82-32;Disponible
76;6627;2008-02-28;Coehlo, Paulo;Como el r°o que fluye.  ;Planeta;;82-32;Disponible
77;6628;2008-02-28;Rivera, AndrÇs;La revoluci¢n es un sue§o eterno.;Seix Barral;;82-32;Disponible
78;6629;2008-02-28;Galeano, Eduardo;Bocas del tiempo. ;Cat†logos;;82-32;Disponible
79;6630;2008-02-28;Cort†zar, Julio;El perseguidor y otros cuentos.;Colihue;;82-34;Disponible
80;6631;2008-02-28;Fern†ndez D°az, Jorge;Fern†ndez.;Sudamericana;;82-32;Disponible
81;6632;2008-02-28;Galeano, Eduardo;El siglo del viento.  ;Cat†logos;;82-32;Disponible
82;6633;2008-02-28;Galeano, Eduardo;Las caras y las m†scaras.;Cat†logos;;82-32;Disponible
83;6634;2008-02-28;Hesse, Hermann;Demi†n.;Centro editor de cultura;;82-32;Disponible
84;6635;2008-02-28;Huidobro, Norma;El lugar perdido. ;Alfaguara;;82-32;Disponible
85;6636;2008-02-28;Rowling, J.K.;Harry Potter y la Reliquias de la Muerte.  ;Salamandra;;82-32;Disponible
86;6637;2008-02-28;Rowling, J.K.;Harry Potter y El Misterio del Pr°ncipe. ;Salamandra;;82-32;Disponible
87;6638;2008-02-28;Devetach, Laura;La leyenda de la piedra.   ;Sudamericana;;82-32;Disponible
88;6639;2008-02-28;Devetach, Laura;La leyenda de la piedra.   ;Sudamericana;;82-32;Disponible
